iter	Passed	Remaining
0	7	2277
1	19	2909
2	31	3156
3	43	3251
4	57	3375
5	59	2904
6	71	3005
7	84	3074
8	96	3135
9	108	3160
10	121	3183
11	133	3192
12	144	3190
13	156	3206
14	169	3213
15	181	3216
16	193	3217
17	204	3208
18	216	3196
19	227	3181
20	238	3170
21	250	3165
22	261	3152
23	273	3146
24	284	3132
25	295	3116
26	306	3102
27	317	3088
28	329	3078
29	340	3066
30	352	3057
31	363	3044
32	375	3041
33	387	3028
34	398	3016
35	409	3004
36	420	2990
37	431	2976
38	442	2963
39	454	2952
40	465	2941
41	477	2930
42	488	2918
43	499	2905
44	510	2891
45	521	2881
46	533	2874
47	545	2861
48	556	2852
49	568	2843
50	581	2839
51	586	2799
52	599	2795
53	613	2792
54	616	2746
55	629	2742
56	651	2777
57	669	2795
58	690	2820
59	705	2822
60	719	2818
61	732	2810
62	744	2802
63	756	2789
64	772	2794
65	786	2787
66	798	2775
67	809	2760
68	820	2747
69	832	2734
70	843	2719
71	847	2683
72	858	2669
73	869	2656
74	881	2643
75	892	2630
76	904	2619
77	911	2592
78	922	2579
79	933	2567
80	944	2553
81	955	2540
82	966	2527
83	977	2513
84	989	2501
85	1000	2489
86	1011	2477
87	1023	2466
88	1036	2458
89	1050	2451
90	1064	2444
91	1078	2438
92	1081	2407
93	1094	2399
94	1108	2392
95	1122	2386
96	1135	2377
97	1147	2364
98	1158	2353
99	1161	2323
100	1173	2312
101	1186	2302
102	1187	2272
103	1200	2261
104	1211	2250
105	1222	2237
106	1229	2217
107	1241	2206
108	1252	2194
109	1263	2181
110	1265	2154
111	1276	2142
112	1288	2132
113	1299	2120
114	1310	2108
115	1312	2081
116	1314	2055
117	1324	2043
118	1336	2032
119	1347	2020
120	1358	2009
121	1360	1985
122	1372	1975
123	1384	1965
124	1395	1954
125	1407	1943
126	1414	1926
127	1425	1915
128	1437	1905
129	1448	1894
130	1460	1883
131	1470	1872
132	1482	1862
133	1494	1851
134	1505	1840
135	1516	1828
136	1528	1818
137	1538	1806
138	1550	1795
139	1561	1784
140	1573	1773
141	1584	1763
142	1596	1752
143	1603	1736
144	1614	1726
145	1627	1716
146	1639	1706
147	1651	1696
148	1662	1685
149	1674	1674
150	1686	1663
151	1698	1653
152	1709	1642
153	1721	1631
154	1725	1614
155	1737	1603
156	1748	1592
157	1760	1582
158	1771	1570
159	1782	1559
160	1794	1549
161	1805	1537
162	1816	1526
163	1827	1515
164	1838	1504
165	1850	1494
166	1862	1483
167	1873	1472
168	1885	1461
169	1896	1450
170	1907	1439
171	1918	1428
172	1920	1409
173	1931	1398
174	1942	1387
175	1953	1376
176	1965	1365
177	1977	1355
178	1988	1343
179	1999	1333
180	2011	1322
181	2023	1311
182	2034	1300
183	2045	1289
184	2057	1278
185	2068	1267
186	2079	1256
187	2091	1245
188	2103	1235
189	2114	1224
190	2126	1213
191	2137	1202
192	2148	1191
193	2159	1180
194	2170	1168
195	2182	1157
196	2193	1146
197	2205	1136
198	2216	1124
199	2227	1113
200	2239	1102
201	2250	1091
202	2262	1080
203	2273	1069
204	2284	1058
205	2295	1047
206	2307	1036
207	2318	1025
208	2329	1014
209	2340	1003
210	2351	992
211	2362	980
212	2374	969
213	2386	958
214	2396	947
215	2408	936
216	2419	925
217	2430	914
218	2442	903
219	2453	892
220	2464	880
221	2475	869
222	2486	858
223	2498	847
224	2509	836
225	2521	825
226	2533	814
227	2544	803
228	2555	792
229	2566	781
230	2577	769
231	2589	758
232	2600	747
233	2611	736
234	2622	725
235	2634	714
236	2646	703
237	2657	692
238	2668	681
239	2681	670
240	2693	659
241	2704	648
242	2715	637
243	2727	625
244	2737	614
245	2749	603
246	2761	592
247	2772	581
248	2784	570
249	2796	559
250	2806	547
251	2817	536
252	2828	525
253	2839	514
254	2850	503
255	2862	492
256	2873	480
257	2885	469
258	2896	458
259	2907	447
260	2918	436
261	2929	424
262	2941	413
263	2953	402
264	2964	391
265	2975	380
266	2987	369
267	2998	358
268	3009	346
269	3021	335
270	3032	324
271	3043	313
272	3055	302
273	3066	290
274	3077	279
275	3088	268
276	3099	257
277	3110	246
278	3121	234
279	3132	223
280	3144	212
281	3155	201
282	3167	190
283	3178	179
284	3189	167
285	3200	156
286	3211	145
287	3223	134
288	3235	123
289	3246	111
290	3258	100
291	3269	89
292	3280	78
293	3292	67
294	3303	55
295	3314	44
296	3325	33
297	3337	22
298	3348	11
299	3358	0
